Cut Copy,Time Stands Still
The Dodos,Fools
Grandaddy,Disconnecty
The Hush Sound,Medicine Man
Radiohead,Bangers + Mash
The Rolling Stones,Play With Fire
Grand Archives,Miniature Birds
Lupe Fiasco,Daydreamin' (feat. Jill Scott)
Wilco,Pot Kettle Black
The Submarines,Submarine Symphonika
Fleet Foxes,Mykonos
Rogue Wave,Like I Needed
Cornelius,Gum
Sigur Rós,Gobbledigook
Moby,We Are All Made of Stars
Feist,I Feel It All
Spoon,You Gotta Feel It
Starlight Mints,Popsickle
Thao & The Get Down Stay Down,Bag of Hammers
MGMT,Electric Feel
Yann Tiersen,La valse d'Amélie (Version orchestre)
Deerhoof,The Galaxist
Architecture In Helsinki,Souvenirs
Justice,D.A.N.C.E
Viva Voce,Daylight
Headlights,TV
Belle and Sebastian,We Are the Sleepyheads
The Postal Service,Such Great Heights
The Shins,Sea Legs
Born Ruffians,Foxes Mate for Life
TV on the Radio,Crying
Beck,Minus
Merz,Lucky Adam
Peter Bjorn and John,School of Kraut
of Montreal,Triphallus, to Punctuate!
The Dodos,Red and Purple
Ben Folds Five,Underground
The Bird and the Bee,Come As You Were
The Hush Sound,Crawling Towards the Sun
Deerhoof,Offend Maggie
of Montreal,Id Engager
TV on the Radio,I Was a Lover
Architecture In Helsinki,Heart It Races
Cartola,Preciso Me Encontrar
Fatlip,What's Up Fatlip
Cat Power,He War
Radiohead,Jigsaw Falling Into Place
The Apples In Stereo,Same Old Drag
The Dodos,Horny Hippies
Wolfmother,White Unicorn
Grandaddy,Jeez Louise
of Montreal,St. Exquisite's Confessions
Ladyhawke,Dusk Till Dawn
Blackalicious,If I May
Wilco,Poor Places
Gaijin Games,The Information Chase (feat. Bit Shifter)
RushJet1,Fighting for Control
YMCK,Magical 8Bit Tour
Bit Shifter,Particle Charge
Gaijin Games,Blackout City (feat. Anamanaguchi)
Passion Pit,Sleepyhead
TV on the Radio,Love Dog
God Help the Girl,Come Monday Night
Cloud Cult,Washed Your Car
Coconut Records,Nighttiming
Daikaiju,Attack of the Crab Women
The Firebird Band,Obsessive Compulsive
Yeah Yeah Yeahs,Heads Will Roll
New Radicals,You Get What You Give
Röyksopp,Happy Up Here
Grandaddy,Stray Dog and the Chocolate Shake
The Submarines,Modern Inventions
The Protomen,II B: Unrest In the House of Light
Anya Marina,Vertigo
Grandaddy,Lava Kiss
Grandaddy,Protected from the Rain
Grandaddy,Ghost Of 1672
Grandaddy,Hand Crank Transmitter
Grandaddy,What Can't Be Erased (Drinking Beer In the Bank of America With Two Chicks from Tempe Arizona)
Grandaddy,Chartsengrafs
Grandaddy,Sikh in a Baja VW Bug
Grandaddy,Our Dying Brains
Grandaddy,Fentry
Grandaddy,Moe Bandy Mountaineers
Grandaddy,Gentle Spike Resort
The Coast,Tightrope
Company Of Thieves,In Passing
Wavves,No Hope Kids
Oh No,Hot Fire
The Decemberists,The Hazards of Love 3 (Revenge!)
Passion Pit,The Reeling
Jason Lytle,Yours Truly, The Commuter
Eero Johannes,Natt I Spårvagnen
Throw Me the Statue,About to Walk
Clues,Remember Severed Head
Two Door Cinema Club,Something Good Can Work
J. Tillman,James Blues
White Rabbits,Percussion Gun
Suckers,Easy Chairs
These New Puritans,Colours
